Artist,Album
Amon Düül,Psychedelic Underground
Amon Düül,Collapsing / Singvögel Rückwärts & Co.
Amon Düül,Disaster / Lüüd Noma
Amon Düül II,Phallus Dei
Can,Monster Movie
Tangerine Dream,Electronic Meditation
Floh de Cologne,Fließbandbabys Beat-Show
Guru Guru,UFO
Tangerine Dream,Alpha Centauri
Klaus Schulze,Irrlicht
Tangerine Dream,Ultima Thule (Parts 1 & 2) (1971) [Single]
Tangerine Dream,Atem
Tangerine Dream,Phaedra
Tangerine Dream,Rubycon
Tangerine Dream,Stratosfear
NEU!,NEU! 2
NEU!,Super / Neuschnee (1972) [Single]
Harmonia,Musik von Harmonia
NEU!,NEU! '75
Can,Soundtracks
Can,Tago Mago
Can,Ege Bamyası
Can,Future Days
Amon Düül II,Hi-Jack
Amon Düül II,Made in Germany
Amon Düül II,Yeti
Amon Düül II,Tanz der Lemminge
Amon Düül II,Carnival in Babylon
Amon Düül II,Wolf City
Amon Düül II,Live in London
Amon Düül II,Vive la trance
Ash Ra Tempel,Ash Ra Tempel
Ash Ra Tempel,Schwingungen
Walter Wegmüller,Tarot
Ash Ra Tempel,Join Inn
Witthüser & Westrupp,Live 68-73
Klaus Schulze,Cyborg
The Cosmic Jokers,The Cosmic Jokers
Wallenstein,Mother Universe
The Cosmic Jokers,Galactic Supermarket
The Cosmic Jokers,Sci-Fi Party
The Cosmic Jokers,Planeten Sit-In
Mythos,Mythos
Amon Düül I,Paradieswärts Düül
Ash Ra Tempel & Timothy Leary,7Up
Can,Ege Bamyasi
Can,Delay
Cluster,Cluster II
Cluster,Zuckerzeit
Cluster,Sowiesoso
Tony Conrad w/ Faust,Outside the Dream Syndicate
Cosmic Jokers,Cosmic Jokers
Cosmic Jokers,Galactic Supermarket
Cosmic Jokers,Planeten Sit-In
Cosmic Jokers & Sternmädchen,Gilles Zeitschiff
Faust,Faust AKA Clear
Faust,So Far
Faust,The Faust Tapes
Faust,Faust IV
Popol Vuh,Affenstunde
Popol Vuh,In den Garten Pharaos
Popol Vuh,Einjäger & Siebenjäger
Popol Vuh,Hosianna Mantra
Tangerine Dream,Zeit
Klaus Schulze,Black Dance
Witthüser & Westrupp,Trips & Träume
